age,job,marital,education,balance,housing,loan,contact,campaign,deposit
23,technician,married,primary,45150,no,no,cellular,3,no
66,technician,single,secondary,10122,no,yes,cellular,4,no
47,admin,divorced,tertiary,41827,yes,yes,telephone,3,no
55,management,married,secondary,11335,no,yes,telephone,6,no
68,management,divorced,tertiary,19677,yes,no,telephone,7,no
19,retired,married,primary,26223,yes,yes,cellular,4,yes
32,admin,married,tertiary,27814,yes,no,cellular,3,no
28,blue-collar,married,secondary,16075,no,no,telephone,3,no
25,management,married,tertiary,41185,yes,no,cellular,3,no
43,admin,divorced,primary,9258,no,no,telephone,9,yes
68,admin,divorced,tertiary,28527,yes,no,telephone,3,yes
62,student,divorced,secondary,8139,no,yes,cellular,3,yes
61,retired,divorced,primary,40325,no,yes,telephone,8,no
22,admin,single,secondary,38503,yes,no,telephone,4,no
23,entrepreneur,married,tertiary,17514,yes,no,telephone,7,no
43,technician,married,secondary,18917,yes,yes,telephone,3,no
21,entrepreneur,married,tertiary,27097,no,no,telephone,8,no
36,technician,single,primary,48119,no,no,cellular,3,no
37,services,divorced,secondary,15788,no,no,telephone,5,yes
50,retired,married,secondary,23061,yes,no,cellular,1,no
37,student,divorced,tertiary,7947,yes,yes,cellular,5,yes
66,blue-collar,divorced,secondary,13544,yes,no,telephone,6,yes
29,entrepreneur,single,secondary,18014,yes,yes,telephone,7,no
64,entrepreneur,single,primary,12795,yes,yes,telephone,2,no
18,services,divorced,tertiary,30632,no,yes,cellular,2,yes
43,technician,married,tertiary,17352,yes,yes,cellular,9,no
31,student,married,primary,21653,no,no,cellular,1,no
55,services,single,primary,-421,yes,no,telephone,2,no
54,retired,single,tertiary,29758,yes,no,telephone,2,no
28,student,single,primary,41755,yes,yes,telephone,7,no
53,retired,single,primary,36760,yes,yes,telephone,6,no
30,admin,single,primary,30818,yes,yes,telephone,9,no
60,management,single,tertiary,4452,no,no,cellular,7,yes
20,admin,single,primary,35921,yes,no,cellular,3,no
50,retired,married,secondary,13340,no,no,cellular,3,no
23,entrepreneur,single,secondary,44668,no,yes,telephone,1,no
67,student,single,tertiary,45738,no,yes,telephone,8,no
27,technician,married,primary,787,no,no,cellular,1,no
22,blue-collar,married,secondary,44149,yes,yes,telephone,2,no
40,technician,divorced,tertiary,46357,yes,yes,cellular,7,no
27,student,single,secondary,13839,yes,no,telephone,1,no
61,admin,single,primary,155,yes,yes,telephone,4,no
19,blue-collar,single,tertiary,5019,yes,yes,telephone,9,yes
30,student,single,secondary,18614,no,no,telephone,8,no
57,retired,divorced,tertiary,24190,yes,yes,cellular,8,yes
19,entrepreneur,married,secondary,38375,yes,yes,telephone,3,no
37,technician,married,secondary,8928,no,yes,cellular,5,no
18,retired,single,primary,46425,yes,yes,cellular,4,no
54,blue-collar,single,primary,6598,yes,no,cellular,8,no
26,blue-collar,single,secondary,42339,no,no,cellular,7,no
34,technician,divorced,tertiary,18581,yes,yes,cellular,7,no
26,retired,divorced,tertiary,46974,no,no,telephone,7,no
28,services,married,primary,42655,no,no,cellular,1,no
32,retired,single,secondary,45796,yes,no,cellular,7,no
41,blue-collar,single,primary,46743,no,yes,cellular,4,no
55,retired,single,secondary,44607,yes,yes,cellular,3,no
52,entrepreneur,single,secondary,11919,yes,no,cellular,5,no
47,student,divorced,primary,36180,yes,no,telephone,2,no
48,admin,married,tertiary,2499,no,no,cellular,8,no
66,entrepreneur,married,primary,35677,no,no,telephone,9,yes
22,services,divorced,secondary,46246,no,yes,cellular,5,no
61,management,single,primary,41862,no,no,telephone,3,no
67,student,married,tertiary,23602,no,yes,telephone,7,no
31,admin,married,tertiary,27692,no,yes,telephone,1,no
28,management,divorced,secondary,38422,no,yes,telephone,3,no
26,technician,single,primary,46750,no,yes,telephone,9,no
51,management,married,tertiary,49376,no,yes,telephone,2,no
29,student,single,primary,19760,no,yes,telephone,9,yes
52,retired,married,tertiary,920,no,yes,cellular,1,yes
52,student,divorced,secondary,22085,yes,no,telephone,4,yes
18,entrepreneur,single,secondary,20925,no,yes,cellular,6,no
57,management,divorced,primary,3615,yes,no,cellular,7,no
39,blue-collar,married,secondary,35083,yes,no,cellular,3,no
46,admin,divorced,tertiary,43228,yes,no,telephone,9,no
25,admin,divorced,secondary,783,yes,no,cellular,4,yes
28,management,divorced,tertiary,7605,no,no,telephone,5,yes
58,admin,married,tertiary,43557,yes,yes,telephone,8,no
54,blue-collar,single,secondary,42608,yes,yes,telephone,3,yes
31,student,divorced,tertiary,17192,yes,no,cellular,8,yes
47,admin,single,tertiary,1331,no,no,cellular,1,no
52,management,married,primary,49330,yes,no,telephone,8,no
38,services,single,primary,29856,yes,yes,telephone,8,yes
54,services,divorced,primary,47949,no,no,telephone,6,no
22,technician,divorced,secondary,846,no,yes,telephone,5,no
36,entrepreneur,divorced,primary,31697,no,yes,cellular,9,yes
31,admin,divorced,tertiary,35586,no,no,cellular,6,no
43,entrepreneur,divorced,secondary,33030,no,yes,cellular,1,no
21,student,divorced,secondary,10775,no,yes,cellular,6,yes
42,management,married,secondary,5549,no,yes,cellular,1,no
62,admin,married,secondary,20437,no,no,telephone,6,no
59,retired,married,tertiary,21958,no,no,telephone,3,no
42,blue-collar,single,tertiary,22243,yes,no,cellular,6,no
35,admin,single,primary,40177,no,no,telephone,6,no
57,admin,married,secondary,40424,yes,no,cellular,1,no
25,entrepreneur,single,primary,26984,yes,no,telephone,9,no
56,entrepreneur,single,tertiary,34942,no,no,telephone,8,no
57,services,divorced,secondary,35538,no,no,telephone,2,yes
31,blue-collar,divorced,tertiary,3833,no,yes,cellular,2,no
49,management,single,primary,21386,no,no,cellular,5,yes
68,admin,single,tertiary,49445,yes,yes,cellular,2,no
55,services,married,secondary,32813,yes,yes,telephone,1,no
50,entrepreneur,single,secondary,31805,no,no,telephone,2,no
40,technician,divorced,primary,4242,yes,yes,telephone,5,no
32,blue-collar,single,secondary,26704,no,yes,telephone,7,no
50,services,married,tertiary,40419,yes,no,telephone,5,no
42,services,divorced,tertiary,22832,yes,yes,cellular,1,no
34,student,divorced,tertiary,10321,no,no,cellular,7,yes
50,services,divorced,tertiary,36930,no,yes,telephone,6,no
64,student,divorced,primary,30407,yes,yes,cellular,7,no
19,admin,single,tertiary,2073,no,no,telephone,2,no
31,admin,married,primary,15667,yes,yes,telephone,5,no
57,entrepreneur,single,tertiary,14035,no,yes,cellular,8,no
57,technician,single,primary,4732,no,no,telephone,7,no
68,retired,divorced,tertiary,1487,no,no,cellular,6,no
56,retired,married,tertiary,32952,no,yes,cellular,6,no
68,retired,divorced,primary,27425,no,yes,cellular,1,no
23,entrepreneur,single,secondary,44658,no,no,telephone,1,yes
23,student,single,secondary,17571,no,yes,cellular,7,no
20,entrepreneur,divorced,secondary,27075,yes,no,telephone,3,no
24,blue-collar,single,primary,40185,no,no,telephone,6,no
68,blue-collar,single,secondary,3495,yes,no,telephone,5,no
25,technician,divorced,secondary,16681,no,yes,telephone,3,no
59,blue-collar,single,primary,12781,yes,yes,telephone,6,no
69,retired,married,secondary,37865,no,yes,telephone,3,no
32,retired,divorced,secondary,6469,no,no,telephone,8,no
64,entrepreneur,married,secondary,43167,yes,yes,telephone,7,no
46,services,single,primary,14202,no,no,cellular,9,yes
50,blue-collar,single,primary,17928,no,yes,cellular,5,no
69,entrepreneur,divorced,secondary,8985,no,no,telephone,1,no
47,admin,single,secondary,37599,no,no,telephone,8,no
56,admin,divorced,primary,14775,no,yes,cellular,2,no
44,services,divorced,secondary,-1032,yes,no,cellular,6,no
53,services,divorced,primary,8382,no,yes,cellular,1,yes
46,services,divorced,secondary,3151,yes,yes,cellular,6,no
55,entrepreneur,divorced,primary,24804,yes,yes,cellular,4,no
50,admin,married,tertiary,41586,yes,yes,cellular,5,no
54,retired,divorced,tertiary,30259,yes,yes,telephone,7,yes
44,services,married,primary,18748,yes,no,cellular,6,no
50,technician,single,tertiary,17691,yes,yes,cellular,1,no
21,student,divorced,secondary,30020,yes,no,cellular,9,no
39,entrepreneur,single,primary,41560,yes,yes,cellular,6,no
19,services,divorced,primary,25256,no,no,telephone,6,no
27,student,married,secondary,4125,yes,no,telephone,9,no
22,management,married,secondary,2370,no,yes,telephone,5,yes
27,services,married,primary,2838,yes,no,telephone,6,no
50,admin,single,secondary,46943,yes,yes,telephone,6,yes
55,blue-collar,divorced,primary,1134,no,yes,telephone,7,no
30,services,single,secondary,43459,yes,yes,telephone,9,no
48,entrepreneur,married,primary,41199,no,no,telephone,5,no
64,blue-collar,single,secondary,9556,yes,no,cellular,5,no
53,management,married,secondary,31822,no,no,cellular,4,no
62,technician,married,tertiary,25977,no,no,telephone,4,no
41,blue-collar,married,tertiary,18113,yes,yes,telephone,8,no
69,student,divorced,tertiary,28566,yes,yes,telephone,2,no
32,retired,divorced,secondary,669,yes,no,cellular,8,yes
46,services,married,primary,47427,yes,no,telephone,2,yes
25,management,single,secondary,14081,no,yes,telephone,1,no
22,management,single,tertiary,10938,no,no,telephone,9,no
46,blue-collar,divorced,secondary,3717,no,yes,telephone,8,no
64,technician,married,tertiary,10282,no,no,cellular,6,no
21,admin,single,tertiary,45659,no,no,telephone,4,no
29,services,married,primary,40065,no,no,cellular,2,no
62,management,single,primary,12201,no,yes,cellular,8,no
19,technician,divorced,tertiary,14289,yes,yes,telephone,3,yes
44,retired,married,tertiary,22406,yes,no,cellular,4,no
48,management,married,secondary,29286,yes,no,telephone,5,yes
68,technician,single,tertiary,10873,yes,no,cellular,4,no
68,entrepreneur,single,secondary,14512,yes,no,telephone,8,no
53,admin,single,tertiary,26927,yes,no,cellular,9,no
53,admin,married,primary,21461,yes,no,cellular,1,no
43,management,divorced,primary,18710,yes,no,telephone,2,no
60,student,divorced,tertiary,17952,no,no,cellular,4,no
44,management,single,secondary,11448,yes,yes,telephone,1,no
22,blue-collar,divorced,secondary,13198,yes,yes,telephone,6,no
37,services,single,secondary,5622,yes,yes,cellular,5,no
28,technician,divorced,tertiary,38848,no,yes,telephone,7,no
27,management,married,tertiary,402,yes,no,telephone,6,no
57,services,single,primary,48799,no,yes,telephone,3,no
55,blue-collar,divorced,primary,34324,no,yes,telephone,5,no
23,entrepreneur,married,tertiary,26467,yes,no,cellular,3,no
25,entrepreneur,divorced,primary,32961,no,yes,cellular,9,no
40,services,married,secondary,41007,yes,yes,cellular,2,no
64,management,married,secondary,18739,yes,yes,telephone,6,yes
43,admin,divorced,tertiary,16518,yes,yes,cellular,9,yes
63,technician,divorced,secondary,24547,no,yes,cellular,7,no
60,technician,married,tertiary,26936,yes,no,cellular,5,no
29,entrepreneur,married,secondary,18287,yes,no,telephone,2,no
43,entrepreneur,married,tertiary,39351,yes,no,cellular,2,yes
30,admin,single,secondary,49431,no,yes,telephone,4,no
57,student,married,secondary,23476,no,yes,cellular,2,no
35,management,single,primary,10875,no,yes,cellular,8,no
42,entrepreneur,married,primary,8686,no,no,telephone,7,yes
50,entrepreneur,single,primary,15536,yes,yes,cellular,7,no
64,entrepreneur,married,primary,32062,yes,yes,telephone,3,yes
57,technician,married,primary,46216,no,yes,telephone,7,yes
60,management,married,primary,23041,yes,yes,cellular,8,no
29,blue-collar,divorced,tertiary,29653,no,no,telephone,5,yes
61,management,divorced,tertiary,19673,yes,no,telephone,1,no
53,services,married,primary,8367,yes,yes,telephone,1,no
65,admin,single,tertiary,17629,no,no,telephone,4,no
21,student,single,primary,44105,no,no,cellular,2,no
22,entrepreneur,married,tertiary,21100,yes,no,telephone,7,no
54,entrepreneur,divorced,secondary,4654,no,yes,telephone,3,no
25,management,single,tertiary,23063,yes,no,cellular,4,no
59,student,divorced,tertiary,17322,yes,no,cellular,9,yes
66,entrepreneur,single,tertiary,17010,yes,yes,cellular,2,no
45,student,married,secondary,48101,yes,no,telephone,8,no
48,blue-collar,divorced,primary,10693,no,no,telephone,1,yes
26,retired,single,tertiary,7241,yes,no,telephone,3,no
68,admin,married,tertiary,27778,yes,yes,telephone,4,no
46,student,married,secondary,34843,yes,yes,cellular,6,yes
31,technician,married,primary,10651,no,no,cellular,1,yes
57,services,divorced,tertiary,23966,yes,yes,telephone,8,no
58,technician,divorced,secondary,7275,no,yes,telephone,2,no
39,entrepreneur,married,primary,43606,no,yes,telephone,5,no
28,blue-collar,divorced,primary,-342,no,no,telephone,6,no
40,blue-collar,single,tertiary,26963,no,no,cellular,8,no
18,technician,married,tertiary,4932,no,yes,cellular,3,no
63,admin,married,tertiary,12248,no,no,cellular,9,yes
54,technician,divorced,tertiary,22437,no,yes,cellular,5,no
38,management,married,secondary,37727,yes,yes,telephone,8,yes
43,entrepreneur,single,secondary,16201,yes,no,cellular,4,yes
63,entrepreneur,divorced,tertiary,39150,no,yes,telephone,9,no
53,technician,divorced,primary,47612,no,yes,cellular,8,no
40,services,married,tertiary,22355,no,yes,cellular,5,no
18,services,married,primary,12999,yes,yes,telephone,3,no
68,entrepreneur,married,primary,4376,no,no,cellular,1,no
57,retired,divorced,primary,49673,yes,yes,cellular,5,no
32,services,married,secondary,1476,yes,no,cellular,5,no
38,technician,single,primary,49857,no,yes,cellular,4,no
64,services,married,primary,2366,yes,no,telephone,8,no
26,entrepreneur,married,secondary,46974,no,yes,cellular,3,no
26,admin,divorced,primary,23733,no,yes,cellular,9,no
27,student,married,primary,10458,no,no,cellular,3,yes
69,services,divorced,tertiary,30795,yes,no,telephone,4,no
43,management,married,primary,18615,no,yes,telephone,6,no
58,admin,single,primary,9164,yes,yes,cellular,9,yes
52,retired,single,primary,37316,no,yes,cellular,2,no
69,management,divorced,primary,1024,no,yes,cellular,2,no
42,technician,divorced,primary,27559,no,yes,telephone,2,no
43,student,married,secondary,-736,no,no,cellular,5,yes
28,technician,married,primary,7047,no,no,cellular,6,no
55,student,single,primary,42985,yes,yes,telephone,3,no
19,student,married,secondary,4587,no,no,telephone,3,no
24,technician,single,secondary,4577,no,no,telephone,2,no
35,management,divorced,primary,15635,no,yes,cellular,6,no
44,management,married,primary,43564,yes,no,cellular,1,yes
51,student,divorced,primary,1870,no,yes,cellular,9,no
44,management,married,tertiary,32094,no,no,telephone,4,no
34,student,single,tertiary,7217,no,no,cellular,2,no
60,entrepreneur,divorced,primary,47513,no,no,cellular,6,no
61,student,divorced,secondary,15602,yes,no,telephone,5,no
68,entrepreneur,married,primary,-1395,no,no,telephone,3,no
41,admin,divorced,secondary,20343,yes,yes,cellular,3,yes
42,blue-collar,single,secondary,48822,yes,no,telephone,5,no
24,admin,divorced,secondary,11003,yes,yes,cellular,4,yes
69,technician,divorced,primary,41257,yes,no,cellular,5,no
23,blue-collar,married,primary,30089,no,no,cellular,2,no
41,services,divorced,secondary,15661,no,no,telephone,1,no
50,technician,married,tertiary,14782,yes,yes,cellular,5,no
66,retired,married,tertiary,28029,yes,no,telephone,1,yes
46,admin,divorced,tertiary,11487,yes,no,telephone,3,yes
60,management,single,secondary,49324,no,yes,telephone,8,no
39,admin,married,primary,49962,yes,yes,telephone,8,no
43,management,divorced,secondary,45501,yes,yes,cellular,9,no
45,blue-collar,married,tertiary,37042,yes,no,telephone,1,no
67,retired,single,primary,20065,yes,no,cellular,4,no
38,blue-collar,single,secondary,8844,yes,no,cellular,6,no
66,retired,married,secondary,17323,no,no,cellular,7,no
24,admin,single,tertiary,23397,yes,yes,cellular,5,yes
34,management,divorced,secondary,43957,no,yes,telephone,7,no
37,blue-collar,divorced,primary,15328,no,no,telephone,8,no
58,retired,married,tertiary,41739,no,yes,cellular,6,no
66,student,single,tertiary,36733,no,yes,cellular,4,no
37,technician,divorced,primary,43389,no,yes,cellular,1,yes
39,technician,divorced,tertiary,27715,yes,no,telephone,5,no
45,blue-collar,divorced,secondary,37116,no,yes,telephone,4,yes
57,management,married,secondary,15580,no,no,cellular,5,no
66,student,married,tertiary,48364,yes,no,cellular,4,no
24,blue-collar,divorced,primary,-1177,no,no,cellular,9,no
18,admin,divorced,secondary,24472,yes,yes,telephone,3,no
49,retired,single,primary,5084,yes,yes,cellular,3,no
30,entrepreneur,single,secondary,10455,yes,yes,telephone,7,yes
47,admin,single,secondary,8607,yes,yes,telephone,2,no
40,technician,married,tertiary,14919,yes,no,telephone,9,no
68,retired,divorced,tertiary,45004,no,no,cellular,8,no
36,blue-collar,married,primary,17394,yes,no,telephone,6,no
49,admin,divorced,tertiary,47004,yes,yes,telephone,9,yes
47,services,single,secondary,8819,no,yes,cellular,3,no
46,entrepreneur,single,secondary,9969,no,yes,cellular,4,no
66,management,single,primary,15333,no,no,cellular,7,no
62,student,single,primary,9700,no,no,telephone,1,no
46,student,divorced,secondary,29792,yes,yes,telephone,1,no
47,management,single,tertiary,31311,no,no,cellular,1,no
33,services,divorced,tertiary,34668,yes,no,telephone,8,no
57,technician,divorced,primary,9945,no,yes,cellular,6,yes
36,retired,married,primary,34992,no,yes,cellular,3,no
35,management,single,secondary,44526,no,no,telephone,7,yes
18,services,single,secondary,45717,no,yes,telephone,6,no
31,blue-collar,married,primary,33634,no,no,telephone,5,no
68,entrepreneur,divorced,secondary,16630,yes,yes,telephone,3,no
64,student,single,primary,48988,yes,no,cellular,4,no
67,entrepreneur,divorced,primary,39036,yes,yes,cellular,1,no
19,services,married,tertiary,22944,no,yes,telephone,9,no
45,entrepreneur,divorced,primary,21360,yes,yes,telephone,5,no
66,technician,single,secondary,10813,no,no,telephone,2,yes
67,technician,divorced,tertiary,47500,no,no,cellular,9,no
47,admin,divorced,tertiary,2601,yes,yes,cellular,7,no
55,management,single,secondary,10930,yes,no,telephone,8,no
68,admin,single,secondary,2333,no,no,cellular,3,no
21,entrepreneur,divorced,secondary,3399,no,yes,cellular,7,no
18,student,divorced,primary,15839,yes,yes,cellular,1,yes
25,services,married,tertiary,49337,no,yes,cellular,6,no
46,retired,single,primary,38204,yes,no,telephone,6,no
56,entrepreneur,divorced,primary,18195,yes,yes,telephone,6,no
20,retired,single,primary,25848,no,no,telephone,3,no
49,technician,married,primary,21693,no,no,telephone,6,no
27,retired,divorced,tertiary,45715,no,no,cellular,3,no
27,retired,divorced,tertiary,44729,no,yes,telephone,9,no
36,student,divorced,primary,38854,yes,yes,telephone,7,no
63,retired,single,secondary,34450,no,no,telephone,4,no
51,entrepreneur,married,tertiary,48998,yes,no,telephone,3,no
50,services,single,primary,-146,yes,yes,telephone,6,no
40,retired,divorced,secondary,29558,no,yes,cellular,9,no
45,blue-collar,married,secondary,985,yes,yes,telephone,3,no
49,retired,divorced,primary,41585,no,yes,cellular,8,no
67,retired,divorced,tertiary,17278,no,yes,cellular,6,no
24,admin,single,secondary,38264,yes,yes,cellular,4,no
46,services,divorced,tertiary,31326,yes,yes,cellular,5,yes
25,entrepreneur,married,tertiary,17280,yes,yes,cellular,3,no
18,technician,divorced,secondary,32022,no,yes,cellular,2,no
20,admin,divorced,primary,13667,no,no,telephone,9,no
41,entrepreneur,single,secondary,16065,yes,yes,cellular,3,no
40,management,married,secondary,46846,no,yes,telephone,6,no
25,services,single,tertiary,19655,no,no,cellular,5,no
64,blue-collar,divorced,primary,8006,yes,yes,cellular,8,no
54,services,single,tertiary,4283,no,yes,cellular,5,yes
20,management,single,secondary,39622,yes,no,telephone,8,yes
68,management,single,primary,43076,yes,yes,cellular,5,no
50,management,single,primary,1325,yes,no,cellular,6,no
45,student,divorced,primary,28783,no,no,telephone,5,no
64,technician,divorced,primary,48393,yes,yes,cellular,2,no
25,retired,married,primary,1143,yes,no,cellular,6,yes
51,services,single,secondary,33805,yes,no,cellular,7,no
52,entrepreneur,single,secondary,10417,yes,no,telephone,3,no
49,student,married,secondary,29300,no,no,cellular,3,no
41,entrepreneur,single,tertiary,24526,yes,yes,cellular,7,no
31,retired,married,primary,26896,no,no,telephone,4,no
49,retired,divorced,primary,48933,yes,no,telephone,2,no
63,blue-collar,married,secondary,35443,no,yes,cellular,9,yes
60,management,single,primary,48629,no,no,cellular,9,no
33,technician,married,tertiary,25606,no,yes,cellular,6,no
21,blue-collar,divorced,primary,37916,no,no,cellular,2,no
69,admin,single,primary,5551,yes,yes,telephone,3,no
54,student,divorced,tertiary,47258,yes,no,telephone,5,no
38,student,divorced,secondary,33436,no,yes,telephone,5,no
31,technician,married,secondary,48316,no,no,cellular,9,no
48,retired,divorced,primary,45680,no,yes,telephone,3,no
65,entrepreneur,single,tertiary,48309,yes,yes,telephone,2,no
35,student,divorced,secondary,246,no,yes,cellular,8,no
24,technician,divorced,secondary,37421,no,yes,cellular,7,no
27,student,married,secondary,41901,yes,yes,cellular,9,no
24,student,divorced,primary,5649,yes,no,cellular,3,no
50,management,married,tertiary,47663,yes,no,cellular,6,no
40,admin,married,primary,39209,yes,yes,cellular,5,no
38,management,single,secondary,-1112,yes,yes,telephone,5,yes
36,admin,single,tertiary,39983,yes,no,cellular,8,yes
65,student,single,primary,27424,no,no,cellular,1,yes
36,blue-collar,single,secondary,39559,no,yes,telephone,1,yes
53,entrepreneur,married,secondary,49682,yes,no,telephone,3,no
46,retired,divorced,primary,9075,no,yes,telephone,2,no
35,student,single,secondary,20699,yes,yes,telephone,2,no
19,admin,single,secondary,45972,no,yes,telephone,2,yes
18,admin,single,tertiary,49216,yes,no,cellular,4,no
64,admin,divorced,secondary,7950,yes,yes,cellular,1,no
22,student,single,primary,3413,no,no,telephone,9,no
37,technician,divorced,tertiary,37305,no,no,telephone,5,no
28,blue-collar,married,primary,1569,yes,no,telephone,5,yes
59,technician,married,secondary,-758,yes,no,telephone,9,no
19,retired,married,tertiary,35097,yes,yes,cellular,5,no
20,student,divorced,tertiary,28085,yes,yes,telephone,8,no
40,admin,single,tertiary,8487,yes,no,telephone,1,no
29,blue-collar,single,tertiary,16309,yes,yes,cellular,1,yes
37,blue-collar,single,primary,28771,no,no,cellular,4,no
22,services,single,secondary,24638,no,yes,cellular,8,yes
54,retired,single,secondary,34163,no,yes,telephone,3,no
55,entrepreneur,divorced,tertiary,47592,no,yes,telephone,1,no
47,entrepreneur,married,secondary,19615,no,yes,cellular,9,no
26,blue-collar,single,primary,49895,yes,yes,telephone,9,yes
51,student,married,secondary,6039,yes,yes,telephone,9,no
61,admin,divorced,primary,6198,no,no,cellular,9,no
52,admin,divorced,primary,32354,yes,yes,cellular,2,no
69,blue-collar,single,secondary,47977,no,yes,cellular,4,no
39,technician,divorced,primary,1824,no,yes,telephone,2,no
61,retired,married,primary,48420,yes,no,cellular,7,yes
41,admin,single,primary,21999,yes,yes,telephone,3,no
34,blue-collar,single,primary,1436,no,yes,telephone,9,no
27,admin,married,tertiary,26014,no,yes,telephone,7,yes
47,entrepreneur,single,secondary,38857,no,no,cellular,8,no
63,blue-collar,single,tertiary,14057,no,yes,cellular,9,no
40,retired,married,primary,-690,yes,no,cellular,8,yes
49,blue-collar,single,secondary,7819,no,no,telephone,7,no
34,services,single,primary,46233,yes,yes,cellular,9,no
67,blue-collar,married,secondary,11457,no,yes,cellular,1,no
68,blue-collar,divorced,tertiary,-1523,no,no,telephone,4,no
34,student,married,secondary,6906,yes,no,telephone,4,no
31,entrepreneur,single,primary,7868,yes,yes,cellular,5,no
26,retired,married,secondary,16546,yes,yes,cellular,8,no
57,student,single,secondary,31276,yes,no,telephone,1,no
19,blue-collar,single,tertiary,5319,yes,no,telephone,6,no
62,retired,married,primary,31149,no,no,telephone,9,no
42,services,single,secondary,46055,no,no,cellular,8,no
56,retired,divorced,tertiary,-155,no,yes,cellular,2,no
26,admin,single,secondary,21684,yes,no,telephone,7,no
39,student,married,primary,27858,yes,yes,cellular,5,no
60,retired,divorced,secondary,43330,yes,no,cellular,2,no
63,entrepreneur,divorced,secondary,40678,no,no,cellular,1,yes
21,services,single,secondary,24667,yes,yes,telephone,2,no
43,management,married,secondary,23293,no,yes,cellular,6,no
46,blue-collar,single,primary,22893,no,yes,telephone,8,no
62,retired,single,tertiary,2629,no,yes,cellular,3,no
51,blue-collar,married,tertiary,3704,yes,no,telephone,5,no
40,technician,married,secondary,-224,no,yes,telephone,2,no
54,admin,single,primary,46281,no,yes,cellular,8,no
28,student,divorced,primary,49436,no,yes,cellular,4,yes
23,admin,single,primary,45996,yes,no,telephone,6,no
35,technician,divorced,primary,29236,no,no,telephone,3,yes
38,technician,single,primary,-756,yes,yes,cellular,8,no
59,student,married,primary,-667,yes,no,telephone,8,yes
53,retired,divorced,secondary,1669,no,no,telephone,3,no
58,technician,married,tertiary,15584,no,yes,cellular,9,no
55,management,married,tertiary,48946,yes,no,cellular,5,no
51,blue-collar,married,secondary,46347,no,yes,cellular,9,no
34,blue-collar,married,tertiary,25277,yes,yes,cellular,7,no
54,services,married,primary,48606,yes,yes,telephone,3,no
42,entrepreneur,single,primary,-67,yes,no,cellular,6,yes
55,technician,divorced,tertiary,31514,no,yes,cellular,2,no
29,technician,single,primary,39800,yes,no,cellular,6,no
40,management,single,primary,22357,yes,no,cellular,5,no
59,admin,single,tertiary,25071,no,no,telephone,3,no
39,admin,married,secondary,4827,no,no,telephone,7,no
38,blue-collar,single,tertiary,28844,yes,yes,cellular,4,no
44,blue-collar,divorced,tertiary,46965,yes,yes,cellular,6,no
48,retired,single,tertiary,23664,yes,no,cellular,9,no
23,student,married,tertiary,-1208,no,yes,cellular,6,no
44,entrepreneur,divorced,secondary,37695,yes,no,telephone,4,yes
57,management,divorced,secondary,15651,yes,no,telephone,2,yes
51,student,divorced,primary,40510,no,yes,telephone,9,yes
29,student,divorced,primary,37137,no,no,telephone,4,no
62,services,single,tertiary,45568,yes,yes,cellular,4,no
24,student,married,primary,17074,no,no,telephone,2,no
27,services,divorced,secondary,5874,yes,no,telephone,5,no
62,student,divorced,primary,14676,yes,no,cellular,6,no
34,management,married,primary,37632,no,no,telephone,6,yes
43,services,single,primary,34790,yes,yes,telephone,3,no
38,admin,divorced,tertiary,16032,yes,no,telephone,9,no
45,services,single,primary,28885,no,no,cellular,7,no
63,services,single,secondary,9008,yes,yes,cellular,3,yes
19,management,single,secondary,42870,no,no,cellular,4,yes
60,management,single,secondary,46110,yes,no,cellular,7,no
18,services,divorced,secondary,41878,no,no,telephone,8,no
68,entrepreneur,divorced,primary,3171,no,no,telephone,6,no
53,technician,single,tertiary,7589,no,no,cellular,4,yes
68,entrepreneur,single,secondary,16077,no,no,cellular,2,no
43,management,married,secondary,4710,no,yes,cellular,8,no
46,entrepreneur,married,tertiary,48189,no,no,telephone,1,no
38,entrepreneur,married,tertiary,18236,yes,yes,telephone,9,no
28,retired,divorced,secondary,36227,yes,no,cellular,8,no
57,retired,married,secondary,12937,no,yes,cellular,3,no
28,admin,divorced,tertiary,7754,yes,yes,cellular,4,no
53,student,divorced,secondary,23688,no,yes,cellular,4,yes
66,services,divorced,secondary,5048,no,yes,cellular,2,no
56,technician,divorced,primary,20568,yes,no,cellular,5,no
57,admin,married,tertiary,30047,no,no,cellular,3,no
52,services,single,primary,7483,yes,no,cellular,1,no
51,entrepreneur,single,primary,15545,no,yes,telephone,2,yes
64,management,single,tertiary,15413,no,yes,cellular,7,yes
41,retired,married,primary,26913,yes,yes,telephone,1,no
39,blue-collar,single,secondary,43217,no,yes,cellular,2,yes
22,technician,married,primary,46122,no,yes,telephone,7,no
50,entrepreneur,married,tertiary,31746,no,yes,cellular,1,no
53,blue-collar,married,secondary,6709,yes,yes,cellular,7,no
64,retired,single,secondary,23358,yes,no,telephone,8,yes
37,entrepreneur,single,secondary,46528,yes,yes,cellular,2,yes
36,student,single,secondary,9023,yes,no,telephone,4,no
52,student,divorced,primary,27851,yes,no,telephone,7,no
69,blue-collar,married,primary,26756,no,yes,telephone,1,no
60,management,divorced,secondary,47289,yes,yes,cellular,6,no
34,entrepreneur,married,tertiary,9145,yes,yes,telephone,5,no
62,services,single,secondary,19192,no,yes,cellular,6,yes
60,entrepreneur,married,primary,45259,no,no,telephone,8,no
51,management,married,secondary,16839,yes,yes,cellular,1,no
